population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,3.247147860821928e-05,5.735787157452459e-05,9.106883779380237e-06
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.02195239623905519,0.03878154934257248,0.006153571227011188
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,1,Number,2023,0.28874092592546974,2.274228928796823,0.03239552414582703
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,7.728989085782816e-07,6.158560509025124e-06,8.57176591790195e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.000608106434738862,0.004789668251003642,6.822699839544244e-05
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,1,Number,2023,0.28874092592546974,2.274228928796823,0.03239552414582703
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,7.728989085782816e-07,6.158560509025124e-06,8.57176591790195e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.000608106434738862,0.004789668251003642,6.822699839544244e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,1,Number,2023,16.58574278563843,35.40664574472343,7.706285817440354
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,2.6166655356177054e-05,5.585784547504204e-05,1.2143175851920425e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.023736868797901992,0.05067261174121384,0.011028935980250903
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,1,Number,2023,16.58574278563843,35.40664574472343,7.706285817440354
